;;;WORLD;;;;US;;;;WORLD EX US;;;
No.;Factor;Cluster;GRS;p(GRS);t>2;t>3;GRS;p(GRS);t>2;t>3;GRS;p(GRS);t>2;t>3
1;cop_at;Quality;5.33;0.0;76;39;1.85;0.0;39;14;6.01;0.0;84;49
2;age;Low Leverage;4.69;0.0;92;67;1.85;0.0;48;22;5.07;0.0;73;46
3;cash_at;Low Leverage;3.87;0.0;75;44;1.81;0.0;59;21;4.52;0.0;75;52
4;aliq_mat;Low Leverage;3.31;0.0;45;18;1.68;0.0;50;29;4.11;0.0;56;22
5;seas_6_10an;Seasonality;3.03;0.0;38;15;1.6;0.001;59;28;3.55;0.0;34;9
6;cowc_gr1a;Accruals;2.86;0.0;34;7;1.56;0.002;52;29;3.53;0.0;33;8
7;seas_2_5an;Seasonality;2.71;0.0;27;6;1.56;0.002;57;29;3.31;0.0;25;2
8;niq_be_chg1;Profit Growth;2.54;0.0;29;8;1.56;0.002;49;29;3.28;0.0;25;5
9;at_be;Low Leverage;2.41;0.0;15;1;1.36;0.025;29;3;3.24;0.0;21;2
10;oaccruals_at;Accruals;2.31;0.0;17;1;1.36;0.023;32;6;3.14;0.0;19;2
11;ncol_gr1a;Debt Issuance;2.22;0.0;8;1;1.37;0.021;31;5;3.14;0.0;17;3
12;fcf_me;Value;2.13;0.0;6;0;1.26;0.067;24;2;3.15;0.0;19;3
13;rd_sale;Low Leverage;2.06;0.0;9;0;1.25;0.078;24;3;2.8;0.0;19;3
14;cop_atl1;Quality;2.0;0.0;7;0;1.23;0.095;26;1;2.66;0.0;16;1
15;dsale_dsga;Profit Growth;1.94;0.0;6;0;1.23;0.092;28;2;2.67;0.0;19;2
16;iskew_ff3_21d;Short-Term Reversal;1.88;0.0;3;0;1.24;0.087;24;1;2.57;0.0;18;3
17;rmax5_rvol_21d;Short-Term Reversal;1.83;0.0;2;0;1.22;0.106;15;2;2.46;0.0;13;2
18;dsale_dinv;Profit Growth;1.78;0.0;3;0;1.22;0.101;21;2;2.48;0.0;14;2
19;seas_2_5na;Investment;1.73;0.0;6;0;1.22;0.102;32;2;2.49;0.0;14;2
20;resff3_12_1;Momentum;1.68;0.001;7;1;1.18;0.155;10;1;2.32;0.0;18;5
21;ocf_me;Value;1.6;0.002;6;0;1.17;0.157;19;1;2.28;0.0;17;4
22;dolvol_126d;Size;1.53;0.004;9;0;1.16;0.179;11;0;2.24;0.0;27;8
23;beta_60m;Low Risk;1.48;0.007;1;0;1.12;0.243;3;0;2.11;0.0;19;3
24;ppeinv_gr1a;Investment;1.44;0.011;2;0;1.11;0.25;7;0;2.09;0.0;17;2
25;chcsho_12m;Value;1.42;0.015;4;0;1.12;0.237;7;0;2.03;0.0;14;2
26;emp_gr1;Investment;1.38;0.022;2;0;1.12;0.233;6;0;1.98;0.0;14;2
27;sti_gr1a;Seasonality;1.36;0.029;1;0;1.13;0.223;5;0;2.0;0.0;15;3
28;ni_ar1;Debt Issuance;1.33;0.04;0;0;1.14;0.209;6;0;1.98;0.0;13;2
29;eqpo_me;Value;1.31;0.048;0;0;1.15;0.196;6;0;1.99;0.0;12;3
30;seas_16_20na;Accruals;1.29;0.059;0;0;1.14;0.207;5;0;2.0;0.0;12;2